employee_id,name,department,level,salary,years_experience,performance_score,gender,age,remote
EMP-0001,Employee 1,Finance,Manager,115279,4,3.9,Non-Binary,24,True
EMP-0002,Employee 2,Engineering,Mid,68462,5,3.5,Non-Binary,47,True
EMP-0003,Employee 3,Operations,Director,161684,9,4.8,Female,35,False
EMP-0004,Employee 4,Support,Lead,105589,7,4.5,Male,60,True
EMP-0005,Employee 5,Finance,Director,156738,8,2.5,Female,43,True
EMP-0006,Employee 6,Sales,Lead,112630,4,2.3,Non-Binary,34,False
EMP-0007,Employee 7,Support,Mid,79841,3,2.5,Male,60,True
EMP-0008,Employee 8,Engineering,Lead,121606,4,4.7,Male,56,False
EMP-0009,Employee 9,Finance,Lead,112136,1,4.1,Male,49,False
EMP-0010,Employee 10,Support,Lead,111485,18,4.4,Male,58,False
EMP-0011,Employee 11,Sales,Senior,100634,24,2.7,Female,27,False
EMP-0012,Employee 12,Marketing,Mid,60179,22,4.2,Non-Binary,22,True
EMP-0013,Employee 13,Finance,Junior,52288,20,2.6,Female,42,False
EMP-0014,Employee 14,Engineering,Mid,73961,20,3.8,Non-Binary,38,False
EMP-0015,Employee 15,Finance,Senior,105050,8,5.0,Male,47,False
EMP-0016,Employee 16,Finance,Manager,125809,5,3.1,Female,57,False
EMP-0017,Employee 17,Marketing,Manager,121283,24,4.1,Non-Binary,30,True
EMP-0018,Employee 18,Operations,Mid,74634,25,4.1,Male,32,True
EMP-0019,Employee 19,Finance,Lead,111089,25,3.7,Male,25,False
EMP-0020,Employee 20,Operations,Junior,42984,4,3.4,Female,60,True
EMP-0021,Employee 21,Engineering,Senior,92266,11,2.2,Non-Binary,24,False
EMP-0022,Employee 22,HR,Manager,131501,16,2.9,Male,60,True
EMP-0023,Employee 23,Operations,Lead,114384,0,2.6,Female,55,True
EMP-0024,Employee 24,Engineering,Manager,126729,16,4.1,Non-Binary,32,True
EMP-0025,Employee 25,Marketing,Mid,81463,0,4.9,Female,27,False
EMP-0026,Employee 26,Marketing,Director,152948,12,3.8,Male,55,True
EMP-0027,Employee 27,Engineering,Manager,119322,23,4.5,Female,59,False
EMP-0028,Employee 28,Support,Senior,92415,19,4.9,Female,51,True
EMP-0029,Employee 29,Marketing,Mid,73340,16,2.3,Non-Binary,26,False
EMP-0030,Employee 30,Marketing,Junior,56819,8,4.6,Female,58,False
EMP-0031,Employee 31,HR,Manager,125847,24,2.7,Female,43,False
EMP-0032,Employee 32,Finance,Junior,55793,3,2.8,Non-Binary,46,True
EMP-0033,Employee 33,Operations,Director,147534,25,2.9,Non-Binary,44,True
EMP-0034,Employee 34,Operations,Senior,93134,9,2.3,Male,43,True
EMP-0035,Employee 35,HR,Senior,96584,6,4.7,Male,39,True
EMP-0036,Employee 36,HR,Director,146542,7,4.2,Male,38,True
EMP-0037,Employee 37,Sales,Mid,80270,11,2.5,Male,28,True
EMP-0038,Employee 38,Operations,Director,156143,19,2.0,Male,56,False
EMP-0039,Employee 39,Marketing,Manager,120335,15,4.7,Female,58,False
EMP-0040,Employee 40,Sales,Manager,119183,12,2.7,Male,58,True
EMP-0041,Employee 41,Finance,Lead,115673,17,2.1,Female,44,True
EMP-0042,Employee 42,HR,Junior,62880,16,3.4,Male,22,True
EMP-0043,Employee 43,HR,Manager,113301,10,3.1,Male,38,False
EMP-0044,Employee 44,Sales,Senior,100445,19,3.0,Female,33,False
EMP-0045,Employee 45,Sales,Lead,122960,24,3.1,Female,47,False
EMP-0046,Employee 46,Sales,Manager,114297,18,4.1,Non-Binary,28,False
EMP-0047,Employee 47,Support,Mid,78197,13,4.6,Male,34,True
EMP-0048,Employee 48,HR,Junior,45787,13,3.5,Non-Binary,55,False
EMP-0049,Employee 49,Support,Lead,109831,8,3.7,Male,58,False
EMP-0050,Employee 50,Engineering,Director,145352,1,2.6,Female,38,True
EMP-0051,Employee 51,HR,Director,150966,8,3.1,Non-Binary,57,False
EMP-0052,Employee 52,Marketing,Junior,53492,3,3.1,Male,60,True
EMP-0053,Employee 53,Support,Senior,96636,10,4.0,Non-Binary,53,False
EMP-0054,Employee 54,Engineering,Lead,120108,9,3.4,Male,31,False
EMP-0055,Employee 55,HR,Director,160064,18,3.2,Male,26,True
EMP-0056,Employee 56,Marketing,Mid,70272,10,4.0,Non-Binary,39,False
EMP-0057,Employee 57,Marketing,Lead,111900,23,3.8,Female,50,True
EMP-0058,Employee 58,Sales,Junior,44097,23,2.7,Non-Binary,38,True
EMP-0059,Employee 59,Sales,Mid,73010,3,2.3,Non-Binary,52,True
EMP-0060,Employee 60,Engineering,Lead,117169,24,5.0,Female,28,True
EMP-0061,Employee 61,Engineering,Director,152774,9,2.7,Female,40,True
EMP-0062,Employee 62,Sales,Manager,115590,0,2.1,Female,44,False
EMP-0063,Employee 63,HR,Manager,118926,17,3.3,Male,56,False
EMP-0064,Employee 64,Operations,Director,160835,18,3.3,Female,56,False
EMP-0065,Employee 65,HR,Manager,117442,25,2.3,Female,41,False
EMP-0066,Employee 66,Marketing,Mid,69947,0,2.0,Female,30,False
EMP-0067,Employee 67,HR,Manager,110272,22,4.8,Female,52,True
EMP-0068,Employee 68,Support,Lead,109598,19,2.7,Non-Binary,22,False
EMP-0069,Employee 69,Sales,Lead,118368,13,3.2,Non-Binary,32,False
EMP-0070,Employee 70,Support,Lead,107228,8,2.2,Non-Binary,37,False
EMP-0071,Employee 71,Marketing,Director,164344,17,4.4,Male,48,True
EMP-0072,Employee 72,Sales,Mid,69489,3,3.9,Female,50,False
EMP-0073,Employee 73,Sales,Senior,85635,4,2.1,Male,56,True
EMP-0074,Employee 74,Engineering,Senior,93820,4,4.1,Male,22,True
EMP-0075,Employee 75,Sales,Junior,56173,6,3.0,Female,41,False
EMP-0076,Employee 76,HR,Director,141039,10,2.2,Male,31,False
EMP-0077,Employee 77,Support,Lead,102339,17,3.4,Female,34,False
EMP-0078,Employee 78,Support,Junior,43996,24,4.1,Female,46,True
EMP-0079,Employee 79,Operations,Junior,46526,14,4.2,Non-Binary,28,True
EMP-0080,Employee 80,HR,Lead,122329,9,4.8,Non-Binary,32,True
EMP-0081,Employee 81,Operations,Manager,127069,3,2.8,Male,41,False
EMP-0082,Employee 82,Engineering,Director,147136,3,2.7,Female,49,True
EMP-0083,Employee 83,Sales,Senior,104159,3,3.2,Male,37,True
EMP-0084,Employee 84,Finance,Director,155573,22,3.8,Male,45,True
EMP-0085,Employee 85,Sales,Lead,102995,21,3.9,Male,25,False
EMP-0086,Employee 86,Operations,Mid,82981,17,4.4,Female,30,True
EMP-0087,Employee 87,Marketing,Manager,131123,24,3.0,Non-Binary,50,True
